Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.58,4189092500.527038,218933455706.4818,4.189092500527038,218.93345570648182,Optimal,1,True,2459,776,profit,normalized,2759699230.283795,94727088925.81264,2.759699230283795,94.72708892581264,Optimal,1,True,1788,741,profit,normalized,6948791730.810833,313660544632.29443,6.948791730810833,313.66054463229443,True,Optimal|Optimal,83.86856106102401,67.08081113908571
0.59,4183173010.4304023,219509705922.30768,4.183173010430402,219.5097059223077,Optimal,1,True,2459,776,profit,normalized,2758500872.924858,94786551401.43144,2.758500872924858,94.78655140143144,Optimal,1,True,1788,741,profit,normalized,6941673883.355261,314296257323.73914,6.941673883355261,314.29625732373916,True,Optimal|Optimal,83.7826520789914,67.21676742598022
0.6,4171162952.1143804,220702775461.85486,4.17116295211438,220.70277546185486,Optimal,1,True,2459,776,profit,normalized,2756544281.129603,94887344904.0507,2.756544281129603,94.8873449040507,Optimal,1,True,1788,741,profit,normalized,6927707233.243983,315590120365.9056,6.927707233243983,315.5901203659056,True,Optimal|Optimal,83.61408135575589,67.49347861537498
0.61,4168278118.577515,221004607332.84094,4.168278118577515,221.00460733284095,Optimal,1,True,2459,776,profit,normalized,2756544281.129603,94887344904.0507,2.756544281129603,94.8873449040507,Optimal,1,True,1788,741,profit,normalized,6924822399.707118,315891952236.89166,6.924822399707118,315.89195223689165,True,Optimal|Optimal,83.57926280786869,67.55802969481378
0.62,4167192736.414269,221122569469.50934,4.167192736414269,221.12256946950933,Optimal,1,True,2459,776,profit,normalized,2755133135.887237,94966506007.98386,2.755133135887237,94.96650600798385,Optimal,1,True,1788,741,profit,normalized,6922325872.301506,316089075477.49316,6.922325872301506,316.08907547749317,True,Optimal|Optimal,83.54913092749736,67.60018733019446
0.63,4167056713.4710755,221138066044.12518,4.167056713471076,221.1380660441252,Optimal,1,True,2459,776,profit,normalized,2753032526.8350487,95091879688.56158,2.7530325268350486,95.09187968856159,Optimal,1,True,1788,741,profit,normalized,6920089240.306124,316229945732.68677,6.920089240306123,316.22994573268676,True,Optimal|Optimal,83.52213585924052,67.63031445694173
0.64,4164894623.2576766,221394043854.91522,4.164894623257677,221.39404385491522,Optimal,1,True,2459,776,profit,normalized,2753032299.4653864,95091893822.28888,2.7530322994653864,95.09189382228888,Optimal,1,True,1788,741,profit,normalized,6917926922.7230625,316485937677.2041,6.917926922723063,316.4859376772041,True,Optimal|Optimal,83.4960377300587,67.68506200991632
0.65,4164749944.9811187,221412211581.74078,4.164749944981119,221.4122115817408,Optimal,1,True,2459,776,profit,normalized,2752618342.87083,95118666309.12137,2.75261834287083,95.11866630912137,Optimal,1,True,1788,741,profit,normalized,6917368287.851949,316530877890.8622,6.917368287851949,316.5308778908622,True,Optimal|Optimal,83.48929527689361,67.69467311987752
0.66,4163834511.352692,221532450539.61847,4.163834511352692,221.53245053961848,Optimal,1,True,2459,776,profit,normalized,2748347875.6276193,95410498131.60484,2.748347875627619,95.41049813160484,Optimal,1,True,1788,741,profit,normalized,6912182386.980311,316942948671.2233,6.912182386980311,316.94294867122335,True,Optimal|Optimal,83.42670395731487,67.7828003729426
0.67,4162764122.3322206,221677650948.2884,4.162764122332221,221.6776509482884,Optimal,1,True,2459,776,profit,normalized,2746942139.095593,95511452751.2907,2.746942139095593,95.51145275129069,Optimal,1,True,1788,741,profit,normalized,6909706261.427814,317189103699.5791,6.9097062614278135,317.1891036995791,True,Optimal|Optimal,83.39681831745987,67.83544416015347
0.68,4162764122.3322206,221677650948.2884,4.162764122332221,221.6776509482884,Optimal,1,True,2459,776,profit,normalized,2745337688.1156898,95631330467.44118,2.74533768811569,95.63133046744117,Optimal,1,True,1788,741,profit,normalized,6908101810.44791,317308981415.72955,6.90810181044791,317.30898141572953,True,Optimal|Optimal,83.37745336881984,67.8610817310067
0.69,4161067122.9292912,221929485005.57416,4.161067122929291,221.92948500557415,Optimal,1,True,2459,776,profit,normalized,2744759392.6791363,95675814280.93,2.7447593926791365,95.67581428093,Optimal,1,True,1788,741,profit,normalized,6905826515.608427,317605299286.50415,6.905826515608427,317.60529928650413,True,Optimal|Optimal,83.34999165870254,67.92445356232794
0.7,4160878007.210055,221958427238.29102,4.160878007210055,221.95842723829102,Optimal,1,True,2459,776,profit,normalized,2743893777.714829,95746460751.41791,2.743893777714829,95.74646075141791,Optimal,1,True,1788,741,profit,normalized,6904771784.924884,317704887989.7089,6.9047717849248835,317.70488798970894,True,Optimal|Optimal,83.33726156861458,67.94575203644459
