season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,bihar,siwan,rice,91003.0,0.0
kharif,bihar,supaul,jowar,0.0,0.0
kharif,bihar,supaul,maize,2664.0,0.0
kharif,bihar,supaul,ragi,1534.0,0.0
kharif,bihar,supaul,rice,98584.0,102782.0
kharif,bihar,vaishali,jowar,0.0,0.0
kharif,bihar,vaishali,maize,11771.0,0.0
kharif,bihar,vaishali,ragi,40.0,0.0
kharif,bihar,vaishali,rice,42030.0,53841.0
kharif,chandigarh,chandigarh,maize,0.0,0.0
kharif,chandigarh,chandigarh,rice,10.0,10.0
kharif,chhattisgarh,balod,jowar,0.0,0.0
kharif,chhattisgarh,balod,maize,310.0,0.0
kharif,chhattisgarh,balod,ragi,7.0,0.0
kharif,chhattisgarh,balod,rice,0.0,317.0
kharif,chhattisgarh,baloda bazar,bajra,0.0,0.0
kharif,chhattisgarh,baloda bazar,jowar,0.0,0.0
kharif,chhattisgarh,baloda bazar,maize,88.0,0.0
kharif,chhattisgarh,baloda bazar,rice,400542.0,400630.0
kharif,chhattisgarh,balrampur,bajra,0.0,0.0
kharif,chhattisgarh,balrampur,jowar,0.0,0.0
kharif,chhattisgarh,balrampur,maize,21589.0,0.0
kharif,chhattisgarh,balrampur,ragi,306.0,0.0
kharif,chhattisgarh,balrampur,rice,83696.0,105591.0
kharif,chhattisgarh,bastar,jowar,0.0,0.0
kharif,chhattisgarh,bastar,maize,9298.0,0.0
kharif,chhattisgarh,bastar,ragi,1539.0,0.0
kharif,chhattisgarh,bastar,rice,0.0,10837.0
kharif,chhattisgarh,bemetara,bajra,0.0,0.0
kharif,chhattisgarh,bemetara,jowar,0.0,0.0
kharif,chhattisgarh,bemetara,maize,24.0,0.0
kharif,chhattisgarh,bemetara,rice,169282.0,169306.0
kharif,chhattisgarh,bijapur,jowar,0.0,0.0
kharif,chhattisgarh,bijapur,maize,602.0,0.0
kharif,chhattisgarh,bijapur,ragi,36.0,0.0
kharif,chhattisgarh,bijapur,rice,62155.0,62793.0
kharif,chhattisgarh,bilaspur,bajra,16.0,0.0
kharif,chhattisgarh,bilaspur,jowar,0.0,0.0
kharif,chhattisgarh,bilaspur,maize,2515.0,144572.1461269739
kharif,chhattisgarh,bilaspur,rice,217583.0,75541.85387302609
kharif,chhattisgarh,dantewada,jowar,0.0,0.0
kharif,chhattisgarh,dantewada,maize,2763.0,17236.82002507938
kharif,chhattisgarh,dantewada,ragi,241.0,0.0
kharif,chhattisgarh,dantewada,rice,70688.0,56455.17997492062
kharif,chhattisgarh,dhamtari,jowar,0.0,0.0
kharif,chhattisgarh,dhamtari,maize,1729.0,0.0
kharif,chhattisgarh,dhamtari,ragi,180.0,0.0
kharif,chhattisgarh,dhamtari,rice,144868.0,146777.0
kharif,chhattisgarh,durg,bajra,15.0,0.0
kharif,chhattisgarh,durg,jowar,0.0,0.0
kharif,chhattisgarh,durg,maize,449.0,0.0
kharif,chhattisgarh,durg,ragi,0.0,0.0
kharif,chhattisgarh,durg,rice,126836.0,127300.0
