iteration,scenario,season,metric,metric_key,status,kharif_status,rabi_status,pct_reduction,display_pct_change
32,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.5865849115954176,3.5865849115954176
32,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.394065327921998,-15.394065327921998
32,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.059763152000014,-6.059763152000014
32,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,14.177909049706688,-14.177909049706688
32,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,4.202674713591837,-4.202674713591837
32,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,21.070036396428137,-21.070036396428137
32,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,9.691281777038144,-9.691281777038144
32,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.742165124176154,-22.742165124176154
32,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.785945640374402,-7.785945640374402
32,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,29.820623986983435,-29.820623986983435
32,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,47.645205105085815,-47.645205105085815
33,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,24.742234511308247,-24.742234511308247
33,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,8.893023024956015,-8.893023024956015
33,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,22.737769152620732,-22.737769152620732
33,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.22874544705557,-8.22874544705557
33,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,29.383018609218418,-29.383018609218418
33,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.710766213804945,-39.710766213804945
33,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-6.431276188052657,6.431276188052657
33,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-13.215725432411084,13.215725432411084
33,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.5798084698594077,2.5798084698594077
33,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.8020654178332487,3.8020654178332487
33,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.123563443136844,-15.123563443136844
33,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.2277770218699136,-6.2277770218699136
33,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,14.790274137942998,-14.790274137942998
33,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.9415328512530263,-2.9415328512530263
33,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,20.7177411763939,-20.7177411763939
33,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,9.93472567677634,-9.93472567677634
33,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,23.53233261474368,-23.53233261474368
33,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,5.769917956057976,-5.769917956057976
33,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,28.20926708844478,-28.20926708844478
33,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,47.28902190379544,-47.28902190379544
34,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.923966426807457,-23.923966426807457
34,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,9.538213789604002,-9.538213789604002
34,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,22.072318221389658,-22.072318221389658
34,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.014348815745663,-8.014348815745663
34,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,29.733458408710987,-29.733458408710987
34,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,38.926244967932504,-38.926244967932504
34,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-5.744125553689283,5.744125553689283
34,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-12.831858179439386,12.831858179439386
34,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-2.4611898724458463,2.4611898724458463
34,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-3.971228813706183,3.971228813706183
34,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,15.694963600574729,-15.694963600574729
34,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,5.309771595688174,-5.309771595688174
34,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,14.318459508426129,-14.318459508426129
34,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,2.9261483940850295,-2.9261483940850295
34,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,21.409977909265276,-21.409977909265276
34,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,8.877804860855576,-8.877804860855576
34,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,22.754213284759953,-22.754213284759953
34,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,6.13289504995613,-6.13289504995613
34,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,23.39072561066927,-23.39072561066927
34,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,47.309352561595624,-47.309352561595624
35,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.50574238485398,-23.50574238485398
35,Water based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,9.977886772872893,-9.977886772872893
35,Nitrogen based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,21.429396969208675,-21.429396969208675
35,Water based,annual,Nitrogen Leach,N_leach,Optimal,Optimal,Optimal,8.624882632141162,-8.624882632141162
35,Nitrogen based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,27.9432449592589,-27.9432449592589
35,Water based,annual,Greenhouse Gas emission,AGHG,Optimal,Optimal,Optimal,39.4792483043295,-39.4792483043295
35,Nitrogen based,annual,Profit,profit,Optimal,Optimal,Optimal,-8.082579661635995,8.082579661635995
35,Water based,annual,Profit,profit,Optimal,Optimal,Optimal,-15.964100103762057,15.964100103762057
35,Nitrogen based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-1.8593117305478168,1.8593117305478168
35,Water based,annual,Calorie,Calorie,Optimal,Optimal,Optimal,-4.142132244397293,4.142132244397293
35,Nitrogen based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,14.85043139457904,-14.85043139457904
35,Water based,annual,Phosphorus application,P_applied,Optimal,Optimal,Optimal,6.182821990217448,-6.182821990217448
35,Nitrogen based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,13.903456760386122,-13.903456760386122
35,Water based,annual,Nitrogen application,N_applied,Optimal,Optimal,Optimal,3.473350653786368,-3.473350653786368
35,Nitrogen based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,20.15425760640845,-20.15425760640845
35,Water based,annual,Phosphorus Surplus,P_surplus,Optimal,Optimal,Optimal,10.063721191203996,-10.063721191203996
35,Nitrogen based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,21.905826922767115,-21.905826922767115
35,Water based,annual,Nitrogen Surplus,N_surplus,Optimal,Optimal,Optimal,7.031321401874309,-7.031321401874309
35,Nitrogen based,annual,Water Demand,water,Optimal,Optimal,Optimal,30.391453660528814,-30.391453660528814
35,Water based,annual,Water Demand,water,Optimal,Optimal,Optimal,47.760320451075614,-47.760320451075614
36,Nitrogen based,annual,Nitrogen Emission,N_emission,Optimal,Optimal,Optimal,23.5139272452734,-23.5139272452734
