season,State,District,Crop,Original Area (Hectare),Optimized Area (Hectare)
kharif,gujarat,amreli,jowar,0.0,2727.0
kharif,gujarat,amreli,maize,0.0,0.0
kharif,gujarat,anand,bajra,13252.0,31500.0
kharif,gujarat,anand,jowar,0.0,427.0
kharif,gujarat,anand,maize,123.0,500.0
kharif,gujarat,anand,rice,110798.0,91746.0
kharif,gujarat,aravalli,bajra,0.0,222.97183214605343
kharif,gujarat,aravalli,jowar,0.0,0.0
kharif,gujarat,aravalli,maize,0.0,0.0
kharif,gujarat,aravalli,rice,1208.0,985.0281678539466
kharif,gujarat,arvalli,bajra,800.0,1032.0
kharif,gujarat,arvalli,maize,30566.0,30334.0
kharif,gujarat,banas kantha,bajra,17985.0,38146.0
kharif,gujarat,banas kantha,jowar,15500.0,0.0
kharif,gujarat,banas kantha,maize,7736.0,0.0
kharif,gujarat,banas kantha,ragi,0.0,3000.0
kharif,gujarat,banas kantha,rice,0.0,75.0
kharif,gujarat,bharuch,bajra,40.0,0.0
kharif,gujarat,bharuch,jowar,980.0,5100.0
kharif,gujarat,bharuch,maize,550.0,0.0
kharif,gujarat,bharuch,rice,7990.0,4460.0
kharif,gujarat,bhavnagar,bajra,32693.0,32693.0
kharif,gujarat,bhavnagar,jowar,0.0,0.0
kharif,gujarat,bhavnagar,maize,0.0,0.0
kharif,gujarat,botad,bajra,659.0,659.0
kharif,gujarat,chhotaudepur,jowar,437.0,437.0
kharif,gujarat,chhotaudepur,maize,31530.0,31530.0
kharif,gujarat,chhotaudepur,rice,21870.0,21870.0
kharif,gujarat,dang,jowar,690.0,0.0
kharif,gujarat,dang,maize,0.0,3745.0
kharif,gujarat,dang,ragi,7562.0,0.0
kharif,gujarat,dang,rice,20829.0,25336.0
kharif,gujarat,devbhumi dwarka,bajra,78.0,215.0
kharif,gujarat,devbhumi dwarka,jowar,17.0,0.0
kharif,gujarat,devbhumi dwarka,maize,120.0,0.0
kharif,gujarat,dohad,jowar,0.0,3600.0
kharif,gujarat,dohad,maize,107805.0,121545.0
kharif,gujarat,dohad,rice,49880.0,32540.0
kharif,gujarat,gandhinagar,bajra,1576.0,9400.0
kharif,gujarat,gandhinagar,jowar,107.0,2329.0
kharif,gujarat,gandhinagar,maize,145.0,0.0
kharif,gujarat,gandhinagar,rice,9901.0,0.0
kharif,gujarat,gir somnath,bajra,1429.0,1429.0
kharif,gujarat,gir somnath,jowar,0.0,0.0
kharif,gujarat,gir somnath,maize,0.0,0.0
kharif,gujarat,gir somnath,rice,0.0,0.0
kharif,gujarat,jamnagar,bajra,242.0,0.0
kharif,gujarat,jamnagar,jowar,10.0,0.0
kharif,gujarat,jamnagar,maize,0.0,252.0
kharif,gujarat,junagadh,bajra,387.0,0.0
kharif,gujarat,junagadh,jowar,0.0,387.0
kharif,gujarat,junagadh,maize,0.0,0.0
kharif,gujarat,junagadh,rice,0.0,0.0
kharif,gujarat,kachchh,bajra,25412.0,0.0
kharif,gujarat,kachchh,jowar,26120.0,51594.0
kharif,gujarat,kachchh,maize,62.0,0.0
kharif,gujarat,kheda,bajra,21645.0,11875.0
kharif,gujarat,kheda,jowar,0.0,3200.0
kharif,gujarat,kheda,maize,184.0,0.0
kharif,gujarat,kheda,rice,108375.0,115129.0
kharif,gujarat,mahesana,bajra,4420.0,3680.0
kharif,gujarat,mahesana,jowar,115.0,0.0
kharif,gujarat,mahesana,maize,302.0,0.0
kharif,gujarat,mahesana,ragi,0.0,0.0
