state,crop,Year,district,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Himachal Pradesh,bajra,2017, HAMIRPUR KANGRA MANDI SHIMLA SIRMAUR,KharifKharifKharifKharifKharif,79.0,58.0,3.5891304347826085
Himachal Pradesh,ragi,2017, CHAMBA KANGRA KINNAUR KULLU MANDI SHIMLA SIRMAUR,KharifKharifKharifKharifKharifKharifKharif,1817.0,1918.0,6.467063422635889
Himachal Pradesh,rice,2017, BILASPUR CHAMBA HAMIRPUR KANGRA KINNAUR KULLU MANDI SHIMLA SIRMAUR SOLAN UNA,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,71613.0,114785.0,17.81044950011632
Himachal Pradesh,wheat,2017, BILASPUR CHAMBA HAMIRPUR KANGRA KINNAUR KULLU LAHUL AND SPITI MANDI SHIMLA SIRMAUR SOLAN UNA,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,342675.0,603587.0,19.308015228727097
Jammu and Kashmir,maize,2017, ANANTNAG BADGAM BANDIPORA BARAMULLA DODA GANDERBAL JAMMU KATHUA KISHTWAR KULGAM KUPWARA POONCH PULWAMA RAJAURI RAMBAN REASI SAMBA SHOPIAN SRINAGAR UDHAMPUR,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,302516.0,546168.6,30.671659667861736
Jammu and Kashmir,bajra,2017, DODA JAMMU KATHUA RAJAURI REASI SAMBA UDHAMPUR UDHAMPUR,KharifKharifKharifKharifKharifKharifKharifRabi,12615.0,7445.2,4.471943934903241
Jammu and Kashmir,jowar,2017, SAMBA,Kharif,63.0,37.6,0.5968253968253968
Jammu and Kashmir,ragi,2017, BANDIPORA KISHTWAR UDHAMPUR KARGIL LEH LADAKH,KharifKharifKharifRabiRabi,8724.0,4850.4,2.8428081834237133
Jammu and Kashmir,rice,2017, ANANTNAG BADGAM BANDIPORA BARAMULLA DODA GANDERBAL JAMMU KATHUA KISHTWAR KULGAM KUPWARA POONCH PULWAMA RAJAURI RAMBAN REASI SAMBA SHOPIAN SRINAGAR UDHAMPUR,KharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharifKharif,273582.0,663754.592,46.20075133405104
Jammu and Kashmir,wheat,2017, BADGAM DODA JAMMU KARGIL KATHUA KISHTWAR LEH LADAKH POONCH PULWAMA RAJAURI RAMBAN REASI SAMBA UDHAMPUR,RabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabiRabi,299336.0,640196.0,23.046993075036486
