target,source,avg_trade_qt_2017
Andhra Pradesh,Karnataka,58454.73333333334
Andaman & Nicobar Islands,Karnataka,0.0
Arunachal Pradesh,Karnataka,0.0
Assam,Karnataka,2164.1666666666665
Bihar,Karnataka,0.0
Chattisgarh,Karnataka,0.0
Chandigarh,Karnataka,0.0
Daman & Diu,Karnataka,0.0
Delhi,Karnataka,0.0
Dadra & Nagar Haveli,Karnataka,0.0
Goa,Karnataka,0.0
Gujarat,Karnataka,0.0
Himachal Pradesh,Karnataka,0.0
Haryana,Karnataka,53154.75
Jharkhand,Karnataka,0.0
Jammu & Kashmir,Karnataka,0.0
Kerala,Karnataka,2212.5
Karnataka,Karnataka,80190.83333333333
Lakshadeep,Karnataka,0.0
Maharashtra,Karnataka,2176.6666666666665
Meghalaya,Karnataka,0.0
Manipur,Karnataka,0.0
Madhya Pradesh,Karnataka,0.0
Mizoram,Karnataka,0.0
Nagaland,Karnataka,0.0
Odisha,Karnataka,4803.974999999999
Punjab,Karnataka,186457.16666666663
Puducherry,Karnataka,0.0
Rajasthan,Karnataka,0.0
Sikkim,Karnataka,0.0
Telangana,Karnataka,5114.333333333333
Tamil Nadu,Karnataka,12584.166666666666
Tripura,Karnataka,0.0
Uttarakhand,Karnataka,0.0
Uttar Pradesh,Karnataka,0.0
West Bengal,Karnataka,0.0
Andhra Pradesh,Lakshadeep,0.0
Andaman & Nicobar Islands,Lakshadeep,0.0
Arunachal Pradesh,Lakshadeep,0.0
Assam,Lakshadeep,0.0
Bihar,Lakshadeep,0.0
Chattisgarh,Lakshadeep,0.0
Chandigarh,Lakshadeep,0.0
Daman & Diu,Lakshadeep,0.0
Delhi,Lakshadeep,0.0
Dadra & Nagar Haveli,Lakshadeep,0.0
Goa,Lakshadeep,0.0
Gujarat,Lakshadeep,0.0
Himachal Pradesh,Lakshadeep,0.0
Haryana,Lakshadeep,0.0
Jharkhand,Lakshadeep,0.0
Jammu & Kashmir,Lakshadeep,0.0
Kerala,Lakshadeep,0.0
Karnataka,Lakshadeep,0.0
Lakshadeep,Lakshadeep,0.0
Maharashtra,Lakshadeep,0.0
Meghalaya,Lakshadeep,0.0
Manipur,Lakshadeep,0.0
Madhya Pradesh,Lakshadeep,0.0
Mizoram,Lakshadeep,0.0
Nagaland,Lakshadeep,0.0
Odisha,Lakshadeep,0.0
Punjab,Lakshadeep,0.0
Puducherry,Lakshadeep,0.0
Rajasthan,Lakshadeep,0.0
Sikkim,Lakshadeep,0.0
Telangana,Lakshadeep,0.0
Tamil Nadu,Lakshadeep,0.0
Tripura,Lakshadeep,0.0
Uttarakhand,Lakshadeep,0.0
Uttar Pradesh,Lakshadeep,0.0
West Bengal,Lakshadeep,0.0
Andhra Pradesh,Maharashtra,647123.6666666666
Andaman & Nicobar Islands,Maharashtra,0.0
Arunachal Pradesh,Maharashtra,0.0
Assam,Maharashtra,110657.25
Bihar,Maharashtra,0.0
Chattisgarh,Maharashtra,0.0
Chandigarh,Maharashtra,4349.166666666667
Daman & Diu,Maharashtra,0.0
Delhi,Maharashtra,0.0
Dadra & Nagar Haveli,Maharashtra,0.0
Goa,Maharashtra,14702.5
Gujarat,Maharashtra,29323.666666666668
Himachal Pradesh,Maharashtra,0.0
Haryana,Maharashtra,40039.916666666664
Jharkhand,Maharashtra,17345.0
Jammu & Kashmir,Maharashtra,0.0
Kerala,Maharashtra,41247.5
Karnataka,Maharashtra,7136.666666666667
Lakshadeep,Maharashtra,0.0
Maharashtra,Maharashtra,43042.583333333336
Meghalaya,Maharashtra,0.0
Manipur,Maharashtra,0.0
Madhya Pradesh,Maharashtra,2170.0
