source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
haryana,arunachal pradesh,2985950000.0,1907418587.2132893,-1078531412.7867107
haryana,assam,1283438020833.3333,868136239707.686,-415301781125.64734
haryana,bihar,2261262849833.3335,1844525191387.7598,-416737658445.5737
haryana,chandigarh,145154048333.3333,104067627228.8791,-41086421104.45422
haryana,chhattisgarh,121395717333.33333,121395717333.33333,0.0
haryana,dadra and nagar haveli,0.0,0.0,0.0
haryana,daman and diu,0.0,0.0,0.0
haryana,delhi,399641263333.3334,389080549487.75146,-10560713845.581867
haryana,goa,49421895000.00001,37422496330.96316,-11999398669.03685
haryana,gujarat,1476186841333.3333,1360640100967.1475,-115546740366.18585
haryana,himachal pradesh,25767921666.666664,21835916533.949768,-3932005132.716896
haryana,jammu and kashmir,85206365000.0,63956456517.58627,-21249908482.413734
haryana,jharkhand,150320603333.33334,147385690579.7501,-2934912753.583232
haryana,karnataka,1612243554333.3335,1124106430558.8906,-488137123774.44275
haryana,kerala,332858211833.3334,290772662373.9041,-42085549459.429214
haryana,lakshadeep,0.0,0.0,0.0
haryana,madhya pradesh,139591127000.0,129103118923.27814,-10488008076.721878
haryana,maharashtra,3156472269000.0,2643768374921.7275,-512703894078.27246
haryana,manipur,21171023333.333332,13524005229.935614,-7647018103.397718
haryana,meghalaya,533406666.6666666,340739058.1032781,-192667608.56338853
haryana,mizoram,18899150000.0,12072737317.279942,-6826412682.720058
haryana,nagaland,106666760000.00002,70702104015.95973,-35964655984.04028
haryana,odisha,500087620500.0,496323315482.63446,-3764305017.3655596
haryana,puducherry,0.0,0.0,0.0
haryana,punjab,6975056666.666667,6975056666.666667,0.0
haryana,rajasthan,1116812068333.3335,1112155641564.948,-4656426768.38538
haryana,sikkim,0.0,0.0,0.0
haryana,tamil nadu,699622303500.0,545985037617.22205,-153637265882.77798
haryana,telangana,2799790000.0,2799790000.0,0.0
haryana,tripura,125545491666.66667,82422666094.3934,-43122825572.27327
haryana,uttar pradesh,3760395163333.334,3326840858790.1973,-433554304543.1362
haryana,uttarakhand,69570691666.66666,69285869362.12746,-284822304.53920287
haryana,west bengal,2265749988666.6665,2230642157041.955,-35107831624.71165
himachal pradesh,andaman and nicobar,0.0,0.0,0.0
himachal pradesh,andhra pradesh,0.0,0.0,0.0
himachal pradesh,arunachal pradesh,0.0,0.0,0.0
himachal pradesh,assam,0.0,0.0,0.0
himachal pradesh,bihar,0.0,0.0,0.0
himachal pradesh,chandigarh,0.0,0.0,0.0
himachal pradesh,chhattisgarh,0.0,0.0,0.0
himachal pradesh,dadra and nagar haveli,0.0,0.0,0.0
himachal pradesh,daman and diu,0.0,0.0,0.0
himachal pradesh,delhi,0.0,0.0,0.0
himachal pradesh,goa,0.0,0.0,0.0
himachal pradesh,gujarat,0.0,0.0,0.0
himachal pradesh,haryana,0.0,0.0,0.0
himachal pradesh,jammu and kashmir,0.0,0.0,0.0
himachal pradesh,jharkhand,0.0,0.0,0.0
himachal pradesh,karnataka,0.0,0.0,0.0
himachal pradesh,kerala,0.0,0.0,0.0
himachal pradesh,lakshadeep,0.0,0.0,0.0
himachal pradesh,madhya pradesh,0.0,0.0,0.0
himachal pradesh,maharashtra,0.0,0.0,0.0
himachal pradesh,manipur,0.0,0.0,0.0
himachal pradesh,meghalaya,0.0,0.0,0.0
himachal pradesh,mizoram,0.0,0.0,0.0
himachal pradesh,nagaland,0.0,0.0,0.0
himachal pradesh,odisha,0.0,0.0,0.0
himachal pradesh,puducherry,0.0,0.0,0.0
himachal pradesh,punjab,0.0,0.0,0.0
himachal pradesh,rajasthan,0.0,0.0,0.0
himachal pradesh,sikkim,0.0,0.0,0.0
himachal pradesh,tamil nadu,0.0,0.0,0.0
himachal pradesh,telangana,0.0,0.0,0.0
himachal pradesh,tripura,0.0,0.0,0.0
himachal pradesh,uttar pradesh,0.0,0.0,0.0
himachal pradesh,uttarakhand,0.0,0.0,0.0
himachal pradesh,west bengal,1407676666.6666667,1407676666.6666667,0.0
jammu and kashmir,andaman and nicobar,0.0,0.0,0.0
jammu and kashmir,andhra pradesh,0.0,0.0,0.0
jammu and kashmir,arunachal pradesh,0.0,0.0,0.0
jammu and kashmir,assam,0.0,0.0,0.0
jammu and kashmir,bihar,0.0,0.0,0.0
