source_state,target_state,baseline_alt_trade_kcal,staple_deficit_kcal,quantity_kcal,is_new_link,pre_scale_trade_kcal,State,scale_factor,optimized_alt_prod_kcal,pre_scale_alt_trade_kcal,optimized_alt_trade_kcal,capacity_limited,optimized_trade_kcal
arunachal pradesh,manipur,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,meghalaya,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,mizoram,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,nagaland,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,odisha,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,puducherry,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,punjab,0.0,193512192.5475701,0.0,True,193512192.5475701,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,193512192.5475701
arunachal pradesh,rajasthan,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,tamil nadu,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,telangana,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,tripura,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,uttar pradesh,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,uttarakhand,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
arunachal pradesh,west bengal,0.0,0.0,0.0,False,0.0,arunachal pradesh,1.0,824461352897.4138,256154985.25352672,256154985.25352672,False,0.0
assam,andhra pradesh,0.0,58491068.70978403,0.0,True,58491068.70978403,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,58491068.70978403
assam,arunachal pradesh,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,bihar,0.0,21910210.044807196,0.0,True,21910210.044807196,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,21910210.044807196
assam,chandigarh,0.0,5869783.254671559,0.0,True,5869783.254671559,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,5869783.254671559
assam,chhattisgarh,0.0,17419464.607649,0.0,True,17419464.607649,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,17419464.607649
assam,daman and diu,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,delhi,0.0,61222527.818721175,0.0,True,61222527.818721175,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,61222527.818721175
assam,goa,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,gujarat,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,haryana,0.0,829873938.0711861,0.0,True,829873938.0711861,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,829873938.0711861
assam,himachal pradesh,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,jammu and kashmir,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,jharkhand,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,karnataka,0.0,5557749.7521057725,0.0,True,5557749.7521057725,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,5557749.7521057725
assam,kerala,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,madhya pradesh,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,maharashtra,0.0,28846553.438621998,0.0,True,28846553.438621998,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,28846553.438621998
assam,manipur,0.0,6284787507.031681,0.0,True,6284787507.031681,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,6284787507.031681
assam,meghalaya,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,mizoram,0.0,687862663.3441172,0.0,True,687862663.3441172,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,687862663.3441172
assam,nagaland,0.0,912891504.4503069,0.0,True,912891504.4503069,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,912891504.4503069
assam,odisha,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,puducherry,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,punjab,0.0,3201893295.681302,0.0,True,3201893295.681302,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,3201893295.681302
assam,rajasthan,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,tamil nadu,0.0,0.0,0.0,False,0.0,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,0.0
assam,telangana,0.0,11759554.420539498,0.0,True,11759554.420539498,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,11759554.420539498
assam,tripura,0.0,25765184126.011272,0.0,True,25765184126.011272,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,25765184126.011272
assam,uttar pradesh,0.0,18703650.257635593,0.0,True,18703650.257635593,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,18703650.257635593
assam,uttarakhand,0.0,23565747.30053723,0.0,True,23565747.30053723,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,23565747.30053723
assam,west bengal,0.0,35549521.05427545,0.0,True,35549521.05427545,assam,1.0,4036966731943.8525,37971388865.249214,37971388865.249214,False,35549521.05427545
bihar,andhra pradesh,57056122500.0,961270997.9033084,57056122500.0,False,58017393497.903305,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,58017393497.903305
bihar,arunachal pradesh,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,assam,58547320000.0,8196987375.013283,58547320000.0,False,66744307375.01328,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,66744307375.01328
bihar,chandigarh,0.0,459465609.8519576,0.0,True,459465609.8519576,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,459465609.8519576
bihar,chhattisgarh,26463645000.0,41502474.050207816,26463645000.0,False,26505147474.05021,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,26505147474.05021
bihar,daman and diu,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,delhi,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,goa,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,gujarat,11446695000.0,0.0,11446695000.0,False,11446695000.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,11446695000.0
bihar,haryana,32257160000.0,21903078234.833443,32257160000.0,False,54160238234.83344,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,54160238234.83344
bihar,himachal pradesh,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,jammu and kashmir,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,jharkhand,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,karnataka,238432480000.0,392237217.8216593,238432480000.0,False,238824717217.82166,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,238824717217.82166
bihar,kerala,32243900000.0,0.0,32243900000.0,False,32243900000.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,32243900000.0
bihar,madhya pradesh,0.0,2060614523.4749758,0.0,True,2060614523.4749758,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,2060614523.4749758
bihar,maharashtra,43262960000.0,0.0,43262960000.0,False,43262960000.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,43262960000.0
bihar,manipur,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,meghalaya,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,mizoram,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,nagaland,0.0,427149226.1347438,0.0,True,427149226.1347438,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,427149226.1347438
bihar,odisha,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,puducherry,0.0,0.0,0.0,False,0.0,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,0.0
bihar,punjab,87622080000.0,51512648804.838715,87622080000.0,False,139134728804.8387,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,139134728804.8387
bihar,rajasthan,0.0,162364971.3804834,0.0,True,162364971.3804834,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,162364971.3804834
bihar,tamil nadu,476427380000.0,1325414744.3103993,476427380000.0,False,477752794744.3104,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,477752794744.3104
bihar,telangana,16893240000.0,414117554.82893807,16893240000.0,False,17307357554.828938,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,17307357554.828938
bihar,tripura,0.0,1595300140.5980933,0.0,True,1595300140.5980933,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,1595300140.5980933
bihar,uttar pradesh,0.0,1110898075.2827537,0.0,True,1110898075.2827537,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,1110898075.2827537
bihar,uttarakhand,363047750000.0,125291173.38148075,363047750000.0,False,363173041173.3815,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,363173041173.3815
bihar,west bengal,25303395000.0,3975668768.822886,25303395000.0,False,29279063768.822887,bihar,1.0,50242017660998.79,1563668137392.5276,1563668137392.5276,False,29279063768.822887
chandigarh,andhra pradesh,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,arunachal pradesh,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,assam,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,bihar,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,chhattisgarh,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,daman and diu,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,delhi,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,goa,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,gujarat,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,haryana,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,himachal pradesh,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,jammu and kashmir,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,jharkhand,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,karnataka,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,kerala,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,madhya pradesh,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,maharashtra,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,manipur,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,meghalaya,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,mizoram,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,nagaland,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,odisha,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,puducherry,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,punjab,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,rajasthan,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,tamil nadu,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,telangana,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,tripura,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,uttar pradesh,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,uttarakhand,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chandigarh,west bengal,0.0,0.0,0.0,False,0.0,chandigarh,0.0,0.0,0.0,0.0,False,0.0
chhattisgarh,andhra pradesh,0.0,1778100944489.1355,0.0,True,1778100944489.1355,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,1778100944489.1355
chhattisgarh,arunachal pradesh,0.0,0.0,0.0,False,0.0,chhattisgarh,1.0,22692989802642.445,7691306541080.305,7691306541080.305,False,0.0
