source_endpoint,crop_name,state_name,agriculture_year,year_code,season_name,production_tonnes
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2013 - 2014,2013,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2013 - 2014,2013,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2014 - 2015,2014,Kharif,3817.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2014 - 2015,2014,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2014 - 2015,2014,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2014 - 2015,2014,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2015 - 2016,2015,Kharif,3256.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2015 - 2016,2015,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2015 - 2016,2015,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2016 - 2017,2016,Kharif,3278.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2016 - 2017,2016,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2016 - 2017,2016,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2016 - 2017,2016,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2017 - 2018,2017,Kharif,3256.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2017 - 2018,2017,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2017 - 2018,2017,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Delhi,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2011 - 2012,2011,Kharif,516200.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2011 - 2012,2011,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2011 - 2012,2011,Summer,1094000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2012 - 2013,2012,Kharif,345200.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2012 - 2013,2012,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2012 - 2013,2012,Summer,696000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2013 - 2014,2013,Kharif,497720.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2013 - 2014,2013,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2013 - 2014,2013,Summer,860937.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2013 - 2014,2013,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2014 - 2015,2014,Kharif,288667.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2014 - 2015,2014,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2014 - 2015,2014,Summer,713569.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2014 - 2015,2014,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2015 - 2016,2015,Kharif,235773.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2015 - 2016,2015,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2015 - 2016,2015,Summer,642786.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2016 - 2017,2016,Kharif,279632.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2016 - 2017,2016,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2016 - 2017,2016,Summer,625114.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2016 - 2017,2016,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2017 - 2018,2017,Kharif,248962.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2017 - 2018,2017,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2017 - 2018,2017,Summer,708790.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Gujarat,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2011 - 2012,2011,Kharif,1175000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2011 - 2012,2011,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2011 - 2012,2011,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2012 - 2013,2012,Kharif,791000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2012 - 2013,2012,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2012 - 2013,2012,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2013 - 2014,2013,Kharif,829000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2013 - 2014,2013,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2013 - 2014,2013,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2013 - 2014,2013,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2014 - 2015,2014,Kharif,683000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2014 - 2015,2014,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2014 - 2015,2014,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2014 - 2015,2014,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2015 - 2016,2015,Kharif,653000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2015 - 2016,2015,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2015 - 2016,2015,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2016 - 2017,2016,Kharif,932000.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2016 - 2017,2016,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2016 - 2017,2016,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2016 - 2017,2016,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2017 - 2018,2017,Kharif,719100.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2017 - 2018,2017,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2017 - 2018,2017,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Haryana,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2011 - 2012,2011,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2011 - 2012,2011,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2011 - 2012,2011,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2012 - 2013,2012,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2012 - 2013,2012,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2012 - 2013,2012,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2013 - 2014,2013,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2013 - 2014,2013,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2013 - 2014,2013,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2013 - 2014,2013,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2014 - 2015,2014,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2014 - 2015,2014,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2014 - 2015,2014,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2014 - 2015,2014,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2015 - 2016,2015,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2015 - 2016,2015,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2015 - 2016,2015,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2016 - 2017,2016,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2016 - 2017,2016,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2016 - 2017,2016,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2016 - 2017,2016,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2017 - 2018,2017,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2017 - 2018,2017,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2017 - 2018,2017,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Himachal Pradesh,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2011 - 2012,2011,Kharif,9943.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2011 - 2012,2011,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2011 - 2012,2011,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2012 - 2013,2012,Kharif,10110.8
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2012 - 2013,2012,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2012 - 2013,2012,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2014 - 2015,2014,Kharif,7299.9
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2014 - 2015,2014,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2014 - 2015,2014,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2014 - 2015,2014,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2015 - 2016,2015,Kharif,3187.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2015 - 2016,2015,Rabi,210.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2015 - 2016,2015,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2016 - 2017,2016,Kharif,6198.8
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2016 - 2017,2016,Rabi,160.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2016 - 2017,2016,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2016 - 2017,2016,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2017 - 2018,2017,Kharif,5137.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2017 - 2018,2017,Rabi,80.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2017 - 2018,2017,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jammu and Kashmir,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jharkhand,2017 - 2018,2017,Kharif,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jharkhand,2017 - 2018,2017,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jharkhand,2017 - 2018,2017,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Jharkhand,2017 - 2018,2017,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2011 - 2012,2011,Kharif,254297.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2011 - 2012,2011,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2011 - 2012,2011,Summer,1937.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2011 - 2012,2011,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2012 - 2013,2012,Kharif,283578.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2012 - 2013,2012,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2012 - 2013,2012,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2012 - 2013,2012,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2013 - 2014,2013,Kharif,329994.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2013 - 2014,2013,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2013 - 2014,2013,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2013 - 2014,2013,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2014 - 2015,2014,Kharif,247118.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2014 - 2015,2014,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2014 - 2015,2014,Summer,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2014 - 2015,2014,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2015 - 2016,2015,Kharif,105231.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2015 - 2016,2015,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2015 - 2016,2015,Summer,2622.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2015 - 2016,2015,Whole Year,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2016 - 2017,2016,Kharif,251655.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2016 - 2017,2016,Rabi,0.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2016 - 2017,2016,Summer,1159.0
https://data.desagri.gov.in/report/crop/horizontal_crop_vertical_year,Bajra,Karnataka,2016 - 2017,2016,Whole Year,0.0
