Crop,State,Year,Output_lakh,Production_tonne,rupee_per_kg,match_status,MSP_rs_per_kg,diff_rs_per_kg,pct_diff_from_msp
Rice,Bihar,2018-19,915503,6155510.4,14.872901522512253,both,15.7,-0.8270984774877466,-5.268143168711761
Rice,Chhattisgarh,2018-19,1051984,6526860.0,16.11776566373417,both,15.7,0.4177656637341691,2.6609277944851537
Rice,Goa,2018-19,14085,98843.75,14.249762883338605,both,15.7,-1.4502371166613948,-9.237179087015255
Rice,Gujarat,2018-19,299794,1912078.74,15.678956819529304,both,15.7,-0.021043180470694978,-0.13403299662863044
Rice,Haryana,2018-19,822420,4516087.0,18.2108980628584,both,15.7,2.510898062858402,15.992981292091734
Rice,Himachal Pradesh,2018-19,17717,114896.0,15.420032028965323,both,15.7,-0.27996797103467586,-1.7832354842972986
Rice,Jammu & Kashmir,2018-19,118082,615799.33,19.175402480545085,both,15.7,3.4754024805450854,22.136321532134303
Rice,Jharkhand,2018-19,390280,2893860.19,13.486484293493117,both,15.7,-2.2135157065068825,-14.098826156094793
Rice,Karnataka,2018-19,589561,3431013.35,17.18329076160546,both,15.7,1.4832907616054598,9.447711857359616
Rice,Kerala,2018-19,96127,578257.52,16.623562457086592,both,15.7,0.923562457086593,5.882563420933714
Rice,Madhya Pradesh,2018-19,789679,4494744.44,17.568941027490318,both,15.7,1.8689410274903189,11.904082977645345
Rice,Maharashtra,2018-19,631731,3275693.81,19.285410561617784,both,15.7,3.5854105616177847,22.83700994661009
Rice,Manipur,2018-19,61749,401620.0,15.374981325631191,both,15.7,-0.32501867436880794,-2.0701826392917706
Rice,Meghalaya,2018-19,36127,201982.67,17.886187958600605,both,15.7,2.1861879586006054,13.92476406751978
Rice,Mizoram,2018-19,10559,60010.0,17.59540076653891,both,15.7,1.8954007665389092,12.072616347381588
Rice,Nagaland,2018-19,90957,356693.33,25.500056308874623,both,15.7,9.800056308874623,62.420740820857475
Rice,Odisha,2018-19,1235610,7733700.48,15.976956997434687,both,15.7,0.27695699743468793,1.764057308501197
Rice,Punjab,2018-19,2135499,12821596.0,16.655485011382357,both,15.7,0.9554850113823576,6.0858917922443165
Rice,Rajasthan,2018-19,95624,453182.71,21.100540221404295,both,15.7,5.400540221404295,34.39834535926303
Rice,Sikkim,2018-19,3837,17179.14,22.335227491015267,both,15.7,6.635227491015268,42.26259548417368
Rice,Tamil Nadu,2018-19,951403,6130934.0,15.518076038659036,both,15.7,-0.18192396134096356,-1.158751346120787
Rice,Telangana,2018-19,1077212,6670012.0,16.150075891917435,both,15.7,0.4500758919174359,2.8667254262257065
Rice,Tripura,2018-19,118164,793177.95,14.89753970089562,both,15.7,-0.8024602991043785,-5.111212096206233
Rice,Uttar Pradesh,2018-19,2544709,15545283.0,16.36965373998016,both,15.7,0.6696537399801592,4.2653104457334985
Rice,Uttarakhand,2018-19,99050,617563.0,16.03884947770511,both,15.7,0.33884947770511076,2.1582769280580303
Rice,West Bengal,2018-19,2430269,16242205.0,14.962679020490135,both,15.7,-0.7373209795098639,-4.696311971400407
Rice,A & N Islands,2018-19,1716,11440.37,14.999514875830064,both,15.7,-0.7004851241699352,-4.46168868898048
Rice,Chandigarh,2018-19,6,3.53,169.97167138810198,both,15.7,154.271671388102,982.622110752242
Rice,Dadra & Nagar Haveli,2018-19,4752,30311.2,15.677373380136714,both,15.7,-0.022626619863284958,-0.14411859785531822
Rice,Daman & Diu,2018-19,286,1822.67,15.691266109608431,both,15.7,-0.008733890391567911,-0.0556298751055281
Rice,Delhi,2018-19,3199,16832.42,19.0049915579578,both,15.7,3.304991557957802,21.050901643043325
Rice,Puducherry,2018-19,11758,63341.23,18.56294865129711,both,15.7,2.86294865129711,18.235341728007068
