scenario_key,scenario_label,strategy,metric,baseline_total,optimized_total,pct_reduction,display_pct_change,solver_status,metric_key,direct_key_share,fallback_key_share,direct_area_share,fallback_area_share,benchmark
MSP,MSP baseline,Water based,Nitrogen Leach,2391590187.444786,2129099835.0254998,10.975557342444828,-10.975557342444828,kharif:Optimal;rabi:Optimal,N_leach,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Greenhouse Gas emission,398546513.153932,274531141.2648212,31.116913031732363,-31.116913031732363,kharif:Optimal;rabi:Optimal,AGHG,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Greenhouse Gas emission,398546513.153932,183263897.79372177,54.016936105287385,-54.016936105287385,kharif:Optimal;rabi:Optimal,AGHG,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Profit,1215665645847.929,1257143973252.3582,-3.4119848287312577,3.4119848287312577,kharif:Optimal;rabi:Optimal,profit,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Profit,550112782949.4415,639375126431.2943,-16.226189655741283,16.226189655741283,kharif:Optimal;rabi:Optimal,profit,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Calorie,955924593799921.0,1036626930543101.2,-8.442332927368074,8.442332927368074,kharif:Optimal;rabi:Optimal,Calorie,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Calorie,955924593799921.0,1033381986844842.5,-8.102876895029825,8.102876895029825,kharif:Optimal;rabi:Optimal,Calorie,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Phosphorus application,4580861940.3896265,4496340505.705383,1.8450989308150643,-1.8450989308150643,kharif:Optimal;rabi:Optimal,P_applied,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Phosphorus application,4580861940.3896265,4346610288.2100725,5.113702513366505,-5.113702513366505,kharif:Optimal;rabi:Optimal,P_applied,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Nitrogen application,12891996042.564434,12646371625.423859,1.9052473824039167,-1.9052473824039167,kharif:Optimal;rabi:Optimal,N_applied,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Nitrogen application,12891996042.564434,12497126504.289253,3.0629045880209147,-3.0629045880209147,kharif:Optimal;rabi:Optimal,N_applied,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Phosphorus Surplus,3589737437.875405,3385774117.981908,5.681845077065391,-5.681845077065391,kharif:Optimal;rabi:Optimal,P_surplus,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Phosphorus Surplus,3589737437.875405,3213484984.3617935,10.481336310108999,-10.481336310108999,kharif:Optimal;rabi:Optimal,P_surplus,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Nitrogen Surplus,8285335580.939312,7665127984.499823,7.485606230196606,-7.485606230196606,kharif:Optimal;rabi:Optimal,N_surplus,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Nitrogen Surplus,8285335580.939312,7519054562.570042,9.248641903318015,-9.248641903318015,kharif:Optimal;rabi:Optimal,N_surplus,1.0,0.0,1.0,0.0,MSP benchmark
2017-18,Hybrid 2017-18,Water based,Water Demand,467586094005.25684,300666524096.0582,35.69814672617745,-35.69814672617745,kharif:Optimal;rabi:Optimal,water,0.9405979540982174,0.059402045901782524,0.9998115828374095,0.00018841716259053768,Hybrid 2017-18 benchmark
MSP,MSP baseline,Water based,Water Demand,467586094005.25684,267036816407.03082,42.89034258490402,-42.89034258490402,kharif:Optimal;rabi:Optimal,water,1.0,0.0,1.0,0.0,MSP benchmark
