Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode
0.23,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.24,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.25,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.26,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.27,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.28,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.29,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.3,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.31,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.32,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.33,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
0.34,5163362545.520916,312530629323.98584,5.163362545520916,312.53062932398586,Optimal,1,True,2459,3235,profit,raw,2944714211.865639,101195897832.12622,2.944714211865639,101.19589783212622,Optimal,1,True,1788,2529,profit,raw,8108076757.386555,413726527156.11206,8.108076757386554,413.72652715611207,True,Optimal|Optimal,profit,raw
