source_state,target_state,original_trade_kcal,optimized_trade_kcal,diff_trade_kcal
chhattisgarh,karnataka,408276612333.3334,90883480579.63812,-317393131753.69525
chhattisgarh,kerala,224578862000.0,49991863424.47232,-174586998575.52768
chhattisgarh,lakshadeep,0.0,0.0,0.0
chhattisgarh,madhya pradesh,86881940166.66669,19617824980.94538,-67264115185.721306
chhattisgarh,maharashtra,1197251792666.6667,266511494317.29086,-930740298349.3759
chhattisgarh,manipur,766883333.3333333,170710308.71331105,-596173024.6200222
chhattisgarh,meghalaya,0.0,0.0,0.0
chhattisgarh,mizoram,783200000.0,174342442.94125384,-608857557.0587461
chhattisgarh,nagaland,8574497333.333334,1908706348.4251788,-6665790984.908155
chhattisgarh,odisha,8750480000.0,1947880567.043645,-6802599432.956355
chhattisgarh,puducherry,0.0,0.0,0.0
chhattisgarh,punjab,19452077333.333332,4330085141.184275,-15121992192.149057
chhattisgarh,rajasthan,453900000.0,101039370.34095393,-352860629.65904605
chhattisgarh,sikkim,0.0,0.0,0.0
chhattisgarh,tamil nadu,1540633217333.3333,343082635245.3216,-1197550582088.0117
chhattisgarh,telangana,0.0,0.0,0.0
chhattisgarh,tripura,0.0,0.0,0.0
chhattisgarh,uttar pradesh,2363543333.3333335,526131152.61854905,-1837412180.7147844
chhattisgarh,uttarakhand,816130000.0,181672750.2012838,-634457249.7987162
chhattisgarh,west bengal,451983652000.0,100612786081.70268,-351370865918.2973
dadra and nagar haveli,andaman and nicobar,0.0,0.0,0.0
dadra and nagar haveli,andhra pradesh,0.0,0.0,0.0
dadra and nagar haveli,arunachal pradesh,0.0,0.0,0.0
dadra and nagar haveli,assam,0.0,0.0,0.0
dadra and nagar haveli,bihar,0.0,0.0,0.0
dadra and nagar haveli,chandigarh,0.0,0.0,0.0
dadra and nagar haveli,chhattisgarh,0.0,0.0,0.0
dadra and nagar haveli,daman and diu,0.0,0.0,0.0
dadra and nagar haveli,delhi,0.0,0.0,0.0
dadra and nagar haveli,goa,0.0,0.0,0.0
dadra and nagar haveli,gujarat,0.0,0.0,0.0
dadra and nagar haveli,haryana,0.0,0.0,0.0
dadra and nagar haveli,himachal pradesh,0.0,0.0,0.0
dadra and nagar haveli,jammu and kashmir,0.0,0.0,0.0
dadra and nagar haveli,jharkhand,0.0,0.0,0.0
dadra and nagar haveli,karnataka,0.0,0.0,0.0
dadra and nagar haveli,kerala,0.0,0.0,0.0
dadra and nagar haveli,lakshadeep,0.0,0.0,0.0
dadra and nagar haveli,madhya pradesh,0.0,0.0,0.0
dadra and nagar haveli,maharashtra,0.0,0.0,0.0
dadra and nagar haveli,manipur,0.0,0.0,0.0
dadra and nagar haveli,meghalaya,0.0,0.0,0.0
dadra and nagar haveli,mizoram,0.0,0.0,0.0
dadra and nagar haveli,nagaland,0.0,0.0,0.0
dadra and nagar haveli,odisha,0.0,0.0,0.0
dadra and nagar haveli,puducherry,0.0,0.0,0.0
dadra and nagar haveli,punjab,0.0,0.0,0.0
dadra and nagar haveli,rajasthan,0.0,0.0,0.0
dadra and nagar haveli,sikkim,0.0,0.0,0.0
dadra and nagar haveli,tamil nadu,0.0,0.0,0.0
dadra and nagar haveli,telangana,0.0,0.0,0.0
dadra and nagar haveli,tripura,0.0,0.0,0.0
dadra and nagar haveli,uttar pradesh,0.0,0.0,0.0
dadra and nagar haveli,uttarakhand,0.0,0.0,0.0
dadra and nagar haveli,west bengal,0.0,0.0,0.0
daman and diu,andaman and nicobar,0.0,0.0,0.0
daman and diu,andhra pradesh,0.0,0.0,0.0
daman and diu,arunachal pradesh,0.0,0.0,0.0
daman and diu,assam,0.0,0.0,0.0
daman and diu,bihar,0.0,0.0,0.0
daman and diu,chandigarh,0.0,0.0,0.0
daman and diu,chhattisgarh,0.0,0.0,0.0
daman and diu,dadra and nagar haveli,0.0,0.0,0.0
daman and diu,delhi,0.0,0.0,0.0
