Alpha,objective_nitrogen_kharif,objective_water_kharif,nitrogen_mt_kharif,water_bcm_kharif,solve_status_kharif,solve_status_code_kharif,is_valid_kharif,variable_count_kharif,constraint_count_kharif,income_mode_kharif,objective_mode_kharif,objective_nitrogen_rabi,objective_water_rabi,nitrogen_mt_rabi,water_bcm_rabi,solve_status_rabi,solve_status_code_rabi,is_valid_rabi,variable_count_rabi,constraint_count_rabi,income_mode_rabi,objective_mode_rabi,objective_nitrogen,objective_water,nitrogen_mt,water_bcm,is_valid,solve_status,income_mode,objective_mode,nitrogen_pct_of_2017_baseline,water_pct_of_2017_baseline
0.27,4266208748.6608906,186107355722.1019,4.26620874866089,186.1073557221019,Optimal,1,True,2459,776,profit,normalized,2824631870.358966,84533024766.47357,2.824631870358966,84.53302476647357,Optimal,1,True,1788,741,profit,normalized,7090840619.019856,270640380488.57547,7.090840619019857,270.6403804885755,True,Optimal|Optimal,profit,normalized,85.58302255532737,57.880331335416656
0.28,4262193553.2649183,186211086003.60062,4.262193553264918,186.21108600360063,Optimal,1,True,2459,776,profit,normalized,2824625048.835945,84533117925.50949,2.8246250488359452,84.53311792550949,Optimal,1,True,1788,741,profit,normalized,7086818602.100863,270744203929.1101,7.0868186021008635,270.7442039291101,True,Optimal|Optimal,profit,normalized,85.53447875309146,57.90253546891544
0.29,4258743980.0606394,186305450919.35614,4.25874398006064,186.30545091935613,Optimal,1,True,2459,776,profit,normalized,2824625048.835945,84533117925.50949,2.8246250488359452,84.53311792550949,Optimal,1,True,1788,741,profit,normalized,7083369028.8965845,270838568844.86563,7.083369028896585,270.8385688448656,True,Optimal|Optimal,profit,normalized,85.49284407009547,57.922716761080736
0.3,4254826686.7183332,186416533551.1676,4.254826686718333,186.4165335511676,Optimal,1,True,2459,776,profit,normalized,2824625048.835945,84533117925.50949,2.8246250488359452,84.53311792550949,Optimal,1,True,1788,741,profit,normalized,7079451735.554278,270949651476.6771,7.0794517355542785,270.9496514766771,True,Optimal|Optimal,profit,normalized,85.44556423086581,57.946473376864574
0.31,4218604027.2907987,187518404696.60654,4.218604027290799,187.51840469660652,Optimal,1,True,2459,776,profit,normalized,2809672461.0026608,84766689571.85703,2.809672461002661,84.76668957185703,Optimal,1,True,1788,741,profit,normalized,7028276488.293459,272285094268.46356,7.028276488293459,272.2850942684636,True,Optimal|Optimal,profit,normalized,84.82790370570193,58.23207699273503
0.32,4214236479.0900598,187654763066.77,4.21423647909006,187.65476306677,Optimal,1,True,2459,776,profit,normalized,2807985433.682697,84794812256.24107,2.807985433682697,84.79481225624107,Optimal,1,True,1788,741,profit,normalized,7022221912.772757,272449575323.01105,7.022221912772757,272.44957532301106,True,Optimal|Optimal,profit,normalized,84.75482790253673,58.26725362793788
0.33,4204378382.351147,187972621854.4017,4.204378382351147,187.9726218544017,Optimal,1,True,2459,776,profit,normalized,2807780729.148108,84798342928.1859,2.807780729148108,84.7983429281859,Optimal,1,True,1788,741,profit,normalized,7012159111.499255,272770964782.5876,7.012159111499255,272.7709647825876,True,Optimal|Optimal,profit,normalized,84.63337474985272,58.33598737851279
0.34,4189203352.048963,188498645527.3497,4.189203352048963,188.4986455273497,Optimal,1,True,2459,776,profit,normalized,2807204476.869007,84808673782.24678,2.807204476869007,84.80867378224679,Optimal,1,True,1788,741,profit,normalized,6996407828.917971,273307319309.5965,6.99640782891797,273.3073193095965,True,Optimal|Optimal,profit,normalized,84.44326437438984,58.45069449531658
0.35,4186328869.1828837,188602488798.19138,4.1863288691828835,188.6024887981914,Optimal,1,True,2459,776,profit,normalized,2804436844.0598836,84860358827.6341,2.8044368440598837,84.86035882763409,Optimal,1,True,1788,741,profit,normalized,6990765713.242767,273462847625.82547,6.990765713242768,273.4628476258255,True,Optimal|Optimal,profit,normalized,84.37516676240918,58.48395645888286
0.36,4171010059.6633105,189181190249.93875,4.171010059663311,189.18119024993874,Optimal,1,True,2459,776,profit,normalized,2793408616.120456,85080360327.83205,2.7934086161204563,85.08036032783204,Optimal,1,True,1788,741,profit,normalized,6964418675.783767,274261550577.7708,6.964418675783767,274.26155057777083,True,Optimal|Optimal,profit,normalized,84.05717074158882,58.65477055326787
