scenario,state,metric,baseline_total,optimized_total,pct_reduction,display_pct_change
Water based,mizoram,Greenhouse Gas emission,301959.5494096218,60526.74796371332,79.9553456474377,-79.9553456474377
Water based,nagaland,Greenhouse Gas emission,1805391.8331974898,1574838.1282552725,12.7702862449471,-12.7702862449471
Water based,odisha,Greenhouse Gas emission,30982824.975301098,7665528.046860966,75.25878271922662,-75.25878271922662
Water based,puducherry,Greenhouse Gas emission,142690.47697598697,142322.1853458112,0.25810526251009624,-0.25810526251009624
Water based,punjab,Greenhouse Gas emission,27840278.549276996,27688316.5602625,0.5458350165050398,-0.5458350165050398
Water based,rajasthan,Greenhouse Gas emission,5065679.214530526,3845387.5394367077,24.08939894167601,-24.08939894167601
Water based,sikkim,Greenhouse Gas emission,112388.13814843298,87952.25937347398,21.742400201243754,-21.742400201243754
Water based,tamil nadu,Greenhouse Gas emission,15385421.580811344,2522156.2397938445,83.6068434878673,-83.6068434878673
Water based,telangana,Greenhouse Gas emission,16694275.86664589,1352153.82343124,91.90049431174936,-91.90049431174936
Water based,tripura,Greenhouse Gas emission,2265448.687643638,2238063.558541759,1.2088170105659322,-1.2088170105659322
Water based,uttar pradesh,Greenhouse Gas emission,56536014.421888374,36875200.3398687,34.77573416354554,-34.77573416354554
Water based,uttarakhand,Greenhouse Gas emission,2409370.4013020475,1372319.9651013238,43.04238300762272,-43.04238300762272
Water based,west bengal,Greenhouse Gas emission,45788183.10774979,23522320.813605484,48.62796639418466,-48.62796639418466
Water based,andaman and nicobar,Profit,-2306119.8875215426,-2306119.8875215426,-0.0,0.0
Water based,andhra pradesh,Profit,12008019479.819286,19702721890.522896,-64.07969626994151,64.07969626994151
Water based,arunachal pradesh,Profit,9561966.920106303,131403430.65251084,-1274.2301322566173,1274.2301322566173
Water based,assam,Profit,7611457189.32793,7647982499.498281,-0.4798727663023899,0.4798727663023899
Water based,bihar,Profit,67260724997.9744,79463701023.4281,-18.14279585273753,18.14279585273753
Water based,chandigarh,Profit,5340637.528430857,5340637.528481241,-9.434182907653905e-10,9.434182907653905e-10
Water based,chhattisgarh,Profit,-2170889375.3739505,-2170889377.0005918,-7.492971737531928e-08,7.492971737531928e-08
Water based,dadra and nagar haveli,Profit,-29293427.745590128,-26138456.9487445,10.770234280010413,-10.770234280010413
Water based,gujarat,Profit,19331506051.84829,19331506032.51679,9.999997390390486e-08,-9.999997390390486e-08
Water based,haryana,Profit,55058596935.87753,55058596931.08757,8.69975450724468e-09,-8.69975450724468e-09
Water based,himachal pradesh,Profit,-205613946.1803294,-205613946.20389748,-1.1462288629833804e-08,1.1462288629833804e-08
Water based,jammu and kashmir,Profit,1393538933.4769125,1548743345.7140067,-11.137429210524854,11.137429210524854
Water based,jharkhand,Profit,9111243598.23107,9214825289.754387,-1.136855692711668,1.136855692711668
Water based,karnataka,Profit,-27307556120.060486,-20292315714.03447,25.6897408731224,-25.6897408731224
Water based,kerala,Profit,-4321086459.208597,-4321086451.763548,1.7229577228251587e-07,-1.7229577228251587e-07
Water based,madhya pradesh,Profit,142493837188.04453,149479000288.26617,-4.9020808464885075,4.9020808464885075
Water based,maharashtra,Profit,-15741130761.453293,26491780147.4613,268.2965509208149,-268.2965509208149
Water based,manipur,Profit,-75523937.90123925,227090486.2014846,400.68676569599046,-400.68676569599046
Water based,meghalaya,Profit,-92623786.15251713,-16686269.726679109,81.9848978110191,-81.9848978110191
Water based,mizoram,Profit,-7905641.807858334,34408989.746001504,535.2460000375735,-535.2460000375735
Water based,nagaland,Profit,-36923058.633494705,16796974.840966508,145.49182939500346,-145.49182939500346
