,target,source,avg_trade_qtl
367,Daman & Diu,Goa,0.0
368,Delhi,Goa,0.0
369,Dadra & Nagar Haveli,Goa,0.0
370,Goa,Goa,0.0
371,Gujarat,Goa,0.0
372,Himachal Pradesh,Goa,0.0
373,Haryana,Goa,495.3333333333333
374,Jharkhand,Goa,0.0
375,Jammu & Kashmir,Goa,0.0
376,Kerala,Goa,2210.0
377,Karnataka,Goa,0.0
378,Lakshadeep,Goa,0.0
379,Maharashtra,Goa,4240.0
380,Meghalaya,Goa,0.0
381,Manipur,Goa,0.0
382,Madhya Pradesh,Goa,0.0
383,Mizoram,Goa,0.0
384,Nagaland,Goa,0.0
385,Odisha,Goa,0.0
386,Punjab,Goa,1896.75
387,Puducherry,Goa,0.0
388,Rajasthan,Goa,0.0
389,Sikkim,Goa,0.0
390,Telangana,Goa,0.0
391,Tamil Nadu,Goa,0.0
392,Tripura,Goa,0.0
393,Uttarakhand,Goa,0.0
394,Uttar Pradesh,Goa,0.0
395,West Bengal,Goa,0.0
396,Andhra Pradesh,Gujarat,11628.25
397,Andaman & Nicobar Islands,Gujarat,0.0
398,Arunachal Pradesh,Gujarat,0.0
399,Assam,Gujarat,2195.5833333333335
400,Bihar,Gujarat,0.0
401,Chattisgarh,Gujarat,0.0
402,Chandigarh,Gujarat,0.0
403,Daman & Diu,Gujarat,0.0
404,Delhi,Gujarat,0.0
405,Dadra & Nagar Haveli,Gujarat,0.0
406,Goa,Gujarat,0.0
407,Gujarat,Gujarat,170739.41666666666
408,Himachal Pradesh,Gujarat,0.0
409,Haryana,Gujarat,38484.5
410,Jharkhand,Gujarat,0.0
411,Jammu & Kashmir,Gujarat,7279.666666666667
412,Kerala,Gujarat,4243.333333333333
413,Karnataka,Gujarat,26087.75
414,Lakshadeep,Gujarat,0.0
415,Maharashtra,Gujarat,17823.333333333332
416,Meghalaya,Gujarat,0.0
417,Manipur,Gujarat,0.0
418,Madhya Pradesh,Gujarat,28536.658333333336
419,Mizoram,Gujarat,0.0
420,Nagaland,Gujarat,0.0
421,Odisha,Gujarat,0.0
422,Punjab,Gujarat,70325.34999999999
423,Puducherry,Gujarat,0.0
424,Rajasthan,Gujarat,3789.9166666666665
425,Sikkim,Gujarat,0.0
426,Telangana,Gujarat,2202.75
427,Tamil Nadu,Gujarat,13837.583333333334
428,Tripura,Gujarat,0.0
429,Uttarakhand,Gujarat,0.0
430,Uttar Pradesh,Gujarat,68211.08333333333
431,West Bengal,Gujarat,6643.416666666667
432,Andhra Pradesh,Himachal Pradesh,0.0
433,Andaman & Nicobar Islands,Himachal Pradesh,0.0
434,Arunachal Pradesh,Himachal Pradesh,0.0
435,Assam,Himachal Pradesh,0.0
436,Bihar,Himachal Pradesh,0.0
437,Chattisgarh,Himachal Pradesh,0.0
438,Chandigarh,Himachal Pradesh,0.0
439,Daman & Diu,Himachal Pradesh,0.0
440,Delhi,Himachal Pradesh,0.0
441,Dadra & Nagar Haveli,Himachal Pradesh,0.0
442,Goa,Himachal Pradesh,0.0
