,state,district,Year,Season,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),N_applied(kg/ha),P_applied(kg/ha),K_applied(kg/ha),Manure (kg/ha),calorie_per_100g,MSP_RsperQntl,CostofCultivation_rs_ha,CWR_y,CWU green_y,CWU blue_y,CWR m3/ha,CWU green m3/ha,CWU blue m3/ha
16045,tamil nadu,madurai,2018,Kharif,rice,39302,164935,4.196605771,104.6846946,66.0550033,35.51459456,4867.593462,345,,,32335367,16791899,14351936,7705.123799,4001.304844,3419.891404
16050,tamil nadu,madurai,2019,Kharif,rice,32754,137586,4.200586188,121.4428747,59.85355158,34.50998405,2895.061284,345,,,32335367,16791899,14351936,7697.822531,3997.513263,3416.650762
16051,tamil nadu,nagappattinam,2009,Kharif,rice,157855,432029,2.736872446,93.66021828,47.59537581,52.24079999,3765.560727,345,1000,,32335367,16791899,14351936,11814.71466,6135.43354,5243.918481
16053,tamil nadu,nagappattinam,2010,Kharif,rice,156049,321506,2.060288755,74.28740659,53.08350452,66.3840146,49.08781085,345,1000,,32335367,16791899,14351936,15694.58015,8150.264838,6965.982784
16055,tamil nadu,nagappattinam,2011,Kharif,rice,170042,577026,3.393432211,120.0059858,58.44810852,98.09189557,646.8597036,345,1095,,32335367,16791899,14351936,9528.808885,4948.352569,4229.32745
16057,tamil nadu,nagappattinam,2012,Kharif,rice,142210,201553,1.41729133,101.0892344,54.76476885,61.32331107,1866.903018,345,1265,51157.05,32335367,16791899,14351936,22814.90497,11847.88099,10126.31327
16060,tamil nadu,nagappattinam,2013,Kharif,rice,154750,605329,3.911657512,99.91545785,52.37300487,58.58831154,3049.126512,345,1327.5,,32335367,16791899,14351936,8266.410569,4292.783545,3669.016512
16061,tamil nadu,nagappattinam,2014,Kharif,rice,159499,579962,3.636148189,102.5036828,57.05409344,55.33865475,3080.768457,345,1380,,32335367,16791899,14351936,8892.752803,4618.045835,3947.016253
16062,tamil nadu,nagappattinam,2015,Kharif,rice,163794,338260,2.065155012,96.70352389,63.72109717,41.50612646,1328.063412,345,1430,55450.91,32335367,16791899,14351936,15657.59801,8131.05985,6949.568395
16063,tamil nadu,nagappattinam,2016,Kharif,rice,166312,263320,1.58328924,98.17657472,56.51524993,39.92497382,1326.422567,345,1490,75492.62,32335367,16791899,14351936,20422.9058,10605.70525,9064.63307
16065,tamil nadu,nagappattinam,2017,Kharif,rice,163584,446090,2.726978189,76.6350891,37.95710736,46.36942511,0,345,1570,60054.43,32335367,16791899,14351936,11857.58182,6157.694649,5262.944918
16066,tamil nadu,nagappattinam,2018,Kharif,rice,167695,565853,3.374298578,128.7148368,56.10001113,53.9778099,0,345,,,32335367,16791899,14351936,9582.841072,4976.411723,4253.309442
16068,tamil nadu,nagappattinam,2019,Kharif,rice,168834,556940,3.298743144,131.8157463,56.99687931,58.85514231,0,345,,,32335367,16791899,14351936,9802.329429,5090.392997,4350.728557
16069,tamil nadu,namakkal,2009,Kharif,rice,10687,45946,4.29924207,72.40482319,51.95095516,88.0097548,15221.5147,345,1000,,32335367,16791899,14351936,7521.178495,3905.781235,3338.247944
