,Target,Source,quantity,year
359,Kerala(excluding ports),Gujarat(excluding ports),,2010
360,Other ports of Kerala,Gujarat(excluding ports),,2010
361,Madhya Pradesh,Gujarat(excluding ports),,2010
362,Maharashtra(excluding ports),Gujarat(excluding ports),,2010
363,Other ports of Maharashtra,Gujarat(excluding ports),,2010
364,Manipur,Gujarat(excluding ports),,2010
365,Meghalaya,Gujarat(excluding ports),,2010
366,Mizoram,Gujarat(excluding ports),,2010
367,Nagaland,Gujarat(excluding ports),,2010
368,Orissa,Gujarat(excluding ports),,2010
369,Pondicheri and Karikal,Gujarat(excluding ports),,2010
370,Punjab,Gujarat(excluding ports),,2010
371,Rajasthan,Gujarat(excluding ports),,2010
372,Tamil Nadu(excluding ports),Gujarat(excluding ports),,2010
373,Other ports of Tamil Nadu,Gujarat(excluding ports),,2010
374,Tripura,Gujarat(excluding ports),,2010
375,Uttaranchal,Gujarat(excluding ports),,2010
376,Uttar Pradesh,Gujarat(excluding ports),,2010
377,West Bengal(excluding ports) ,Gujarat(excluding ports),,2010
378,Other ports of West Bengal,Gujarat(excluding ports),,2010
379,T  O  T  A  L,Gujarat(excluding ports),0,2010
380,Andhra(excluding ports),Other ports of Gujarat,,2010
381,Other ports of Andhra,Other ports of Gujarat,,2010
382,Assam,Other ports of Gujarat,,2010
383,Arunachal Pradesh,Other ports of Gujarat,,2010
384,Bihar,Other ports of Gujarat,,2010
385,Chattishgarh,Other ports of Gujarat,,2010
386,Chandigarh,Other ports of Gujarat,,2010
387,Delhi,Other ports of Gujarat,,2010
388,Goa,Other ports of Gujarat,,2010
389,Gujarat(excluding ports),Other ports of Gujarat,,2010
390,Other ports of Gujarat,Other ports of Gujarat,,2010
391,Haryana,Other ports of Gujarat,,2010
392,Himachal Pradesh,Other ports of Gujarat,,2010
393,Jammu and Kasmir,Other ports of Gujarat,,2010
394,Jharkhand,Other ports of Gujarat,,2010
395,Karnataka(excluding ports,Other ports of Gujarat,,2010
396,Other ports of Karnataka,Other ports of Gujarat,,2010
397,Kerala(excluding ports),Other ports of Gujarat,,2010
398,Other ports of Kerala,Other ports of Gujarat,,2010
399,Madhya Pradesh,Other ports of Gujarat,,2010
400,Maharashtra(excluding ports),Other ports of Gujarat,,2010
401,Other ports of Maharashtra,Other ports of Gujarat,,2010
402,Manipur,Other ports of Gujarat,,2010
403,Meghalaya,Other ports of Gujarat,,2010
404,Mizoram,Other ports of Gujarat,,2010
405,Nagaland,Other ports of Gujarat,,2010
406,Orissa,Other ports of Gujarat,,2010
407,Pondicheri and Karikal,Other ports of Gujarat,,2010
408,Punjab,Other ports of Gujarat,,2010
409,Rajasthan,Other ports of Gujarat,,2010
410,Tamil Nadu(excluding ports),Other ports of Gujarat,,2010
411,Other ports of Tamil Nadu,Other ports of Gujarat,,2010
412,Tripura,Other ports of Gujarat,,2010
413,Uttaranchal,Other ports of Gujarat,,2010
414,Uttar Pradesh,Other ports of Gujarat,,2010
415,West Bengal(excluding ports) ,Other ports of Gujarat,,2010
416,Other ports of West Bengal,Other ports of Gujarat,,2010
417,T  O  T  A  L,Other ports of Gujarat,0,2010
418,Andhra(excluding ports),Haryana,,2010
419,Other ports of Andhra,Haryana,,2010
420,Assam,Haryana,,2010
421,Arunachal Pradesh,Haryana,,2010
422,Bihar,Haryana,,2010
423,Chattishgarh,Haryana,,2010
424,Chandigarh,Haryana,,2010
425,Delhi,Haryana,,2010
426,Goa,Haryana,,2010
427,Gujarat(excluding ports),Haryana,,2010
428,Other ports of Gujarat,Haryana,,2010
429,Haryana,Haryana,,2010
430,Himachal Pradesh,Haryana,,2010
431,Jammu and Kasmir,Haryana,,2010
432,Jharkhand,Haryana,,2010
433,Karnataka(excluding ports,Haryana,,2010
434,Other ports of Karnataka,Haryana,,2010
435,Kerala(excluding ports),Haryana,,2010
436,Other ports of Kerala,Haryana,,2010
437,Madhya Pradesh,Haryana,,2010
438,Maharashtra(excluding ports),Haryana,,2010
439,Other ports of Maharashtra,Haryana,,2010
440,Manipur,Haryana,,2010
441,Meghalaya,Haryana,,2010
442,Mizoram,Haryana,,2010
443,Nagaland,Haryana,,2010
444,Orissa,Haryana,,2010
445,Pondicheri and Karikal,Haryana,,2010
446,Punjab,Haryana,,2010
447,Rajasthan,Haryana,,2010
448,Tamil Nadu(excluding ports),Haryana,,2010
449,Other ports of Tamil Nadu,Haryana,,2010
450,Tripura,Haryana,,2010
451,Uttaranchal,Haryana,,2010
452,Uttar Pradesh,Haryana,,2010
453,West Bengal(excluding ports) ,Haryana,,2010
454,Other ports of West Bengal,Haryana,,2010
455,T  O  T  A  L,Haryana,0,2010
456,Andhra(excluding ports),Himachal Pradesh,,2010
457,Other ports of Andhra,Himachal Pradesh,,2010
458,Assam,Himachal Pradesh,,2010
459,Arunachal Pradesh,Himachal Pradesh,,2010
460,Bihar,Himachal Pradesh,,2010
461,Chattishgarh,Himachal Pradesh,,2010
462,Chandigarh,Himachal Pradesh,,2010
463,Delhi,Himachal Pradesh,,2010
464,Goa,Himachal Pradesh,,2010
465,Gujarat(excluding ports),Himachal Pradesh,,2010
466,Other ports of Gujarat,Himachal Pradesh,,2010
467,Haryana,Himachal Pradesh,,2010
468,Himachal Pradesh,Himachal Pradesh,,2010
469,Jammu and Kasmir,Himachal Pradesh,,2010
470,Jharkhand,Himachal Pradesh,,2010
471,Karnataka(excluding ports,Himachal Pradesh,,2010
472,Other ports of Karnataka,Himachal Pradesh,,2010
473,Kerala(excluding ports),Himachal Pradesh,,2010
474,Other ports of Kerala,Himachal Pradesh,,2010
475,Madhya Pradesh,Himachal Pradesh,,2010
476,Maharashtra(excluding ports),Himachal Pradesh,,2010
477,Other ports of Maharashtra,Himachal Pradesh,,2010
478,Manipur,Himachal Pradesh,,2010
479,Meghalaya,Himachal Pradesh,,2010
480,Mizoram,Himachal Pradesh,,2010
481,Nagaland,Himachal Pradesh,,2010
482,Orissa,Himachal Pradesh,,2010
483,Pondicheri and Karikal,Himachal Pradesh,,2010
484,Punjab,Himachal Pradesh,,2010
485,Rajasthan,Himachal Pradesh,,2010
486,Tamil Nadu(excluding ports),Himachal Pradesh,,2010
487,Other ports of Tamil Nadu,Himachal Pradesh,,2010
488,Tripura,Himachal Pradesh,,2010
489,Uttaranchal,Himachal Pradesh,,2010
490,Uttar Pradesh,Himachal Pradesh,,2010
491,West Bengal(excluding ports) ,Himachal Pradesh,,2010
492,Other ports of West Bengal,Himachal Pradesh,,2010
493,T  O  T  A  L,Himachal Pradesh,0,2010
494,Andhra(excluding ports),Jammu,,2010
495,Other ports of Andhra,Jammu,,2010
496,Assam,Jammu,,2010
497,Arunachal Pradesh,Jammu,,2010
498,Bihar,Jammu,,2010
499,Chattishgarh,Jammu,,2010
500,Chandigarh,Jammu,,2010
501,Delhi,Jammu,,2010
502,Goa,Jammu,,2010
503,Gujarat(excluding ports),Jammu,,2010
504,Other ports of Gujarat,Jammu,,2010
505,Haryana,Jammu,,2010
506,Himachal Pradesh,Jammu,,2010
507,Jammu and Kasmir,Jammu,,2010
508,Jharkhand,Jammu,,2010
509,Karnataka(excluding ports,Jammu,,2010
510,Other ports of Karnataka,Jammu,,2010
511,Kerala(excluding ports),Jammu,,2010
512,Other ports of Kerala,Jammu,,2010
513,Madhya Pradesh,Jammu,,2010
514,Maharashtra(excluding ports),Jammu,,2010
515,Other ports of Maharashtra,Jammu,,2010
516,Manipur,Jammu,,2010
517,Meghalaya,Jammu,,2010
518,Mizoram,Jammu,,2010
519,Nagaland,Jammu,,2010
520,Orissa,Jammu,,2010
521,Pondicheri and Karikal,Jammu,,2010
522,Punjab,Jammu,,2010
523,Rajasthan,Jammu,,2010
524,Tamil Nadu(excluding ports),Jammu,,2010
525,Other ports of Tamil Nadu,Jammu,,2010
526,Tripura,Jammu,,2010
527,Uttaranchal,Jammu,,2010
528,Uttar Pradesh,Jammu,,2010
529,West Bengal(excluding ports) ,Jammu,,2010
530,Other ports of West Bengal,Jammu,,2010
531,T  O  T  A  L,Jammu,0,2010
532,Andhra(excluding ports),Jharkhand,,2010
533,Other ports of Andhra,Jharkhand,,2010
534,Assam,Jharkhand,,2010
535,Arunachal Pradesh,Jharkhand,,2010
536,Bihar,Jharkhand,,2010
537,Chattishgarh,Jharkhand,,2010
538,Chandigarh,Jharkhand,,2010
539,Delhi,Jharkhand,,2010
540,Goa,Jharkhand,,2010
541,Gujarat(excluding ports),Jharkhand,,2010
542,Other ports of Gujarat,Jharkhand,,2010
543,Haryana,Jharkhand,,2010
544,Himachal Pradesh,Jharkhand,,2010
545,Jammu and Kasmir,Jharkhand,,2010
546,Jharkhand,Jharkhand,,2010
547,Karnataka(excluding ports,Jharkhand,,2010
548,Other ports of Karnataka,Jharkhand,,2010
549,Kerala(excluding ports),Jharkhand,,2010
550,Other ports of Kerala,Jharkhand,,2010
551,Madhya Pradesh,Jharkhand,,2010
552,Maharashtra(excluding ports),Jharkhand,,2010
553,Other ports of Maharashtra,Jharkhand,,2010
554,Manipur,Jharkhand,,2010
555,Meghalaya,Jharkhand,,2010
556,Mizoram,Jharkhand,,2010
557,Nagaland,Jharkhand,,2010
558,Orissa,Jharkhand,,2010
559,Pondicheri and Karikal,Jharkhand,,2010
560,Punjab,Jharkhand,,2010
561,Rajasthan,Jharkhand,,2010
