,target,source,avg_trade_qtl
489,Manipur,Haryana,59469.166666666664
490,Madhya Pradesh,Haryana,81562.91666666667
491,Mizoram,Haryana,53087.5
492,Nagaland,Haryana,279689.1666666667
493,Odisha,Haryana,29274.166666666668
494,Punjab,Haryana,0.0
495,Puducherry,Haryana,0.0
496,Rajasthan,Haryana,36212.0
497,Sikkim,Haryana,0.0
498,Telangana,Haryana,0.0
499,Tamil Nadu,Haryana,1194803.0
500,Tripura,Haryana,335356.6666666667
501,Uttarakhand,Haryana,2215.0
502,Uttar Pradesh,Haryana,3371655.8333333335
503,West Bengal,Haryana,273025.8333333333
504,Andhra Pradesh,Jharkhand,53133.833333333336
505,Andaman & Nicobar Islands,Jharkhand,0.0
506,Arunachal Pradesh,Jharkhand,0.0
507,Assam,Jharkhand,0.0
508,Bihar,Jharkhand,2215.0
509,Chattisgarh,Jharkhand,43321.21666666667
510,Chandigarh,Jharkhand,0.0
511,Daman & Diu,Jharkhand,0.0
512,Delhi,Jharkhand,0.0
513,Dadra & Nagar Haveli,Jharkhand,0.0
514,Goa,Jharkhand,0.0
515,Gujarat,Jharkhand,0.0
516,Himachal Pradesh,Jharkhand,0.0
517,Haryana,Jharkhand,213.75
518,Jharkhand,Jharkhand,0.0
519,Jammu & Kashmir,Jharkhand,0.0
520,Kerala,Jharkhand,0.0
521,Karnataka,Jharkhand,0.0
522,Lakshadeep,Jharkhand,0.0
523,Maharashtra,Jharkhand,0.0
524,Meghalaya,Jharkhand,0.0
525,Manipur,Jharkhand,0.0
526,Madhya Pradesh,Jharkhand,0.0
527,Mizoram,Jharkhand,0.0
528,Nagaland,Jharkhand,0.0
529,Odisha,Jharkhand,72162.74166666667
530,Punjab,Jharkhand,824.6666666666666
531,Puducherry,Jharkhand,0.0
532,Rajasthan,Jharkhand,0.0
533,Sikkim,Jharkhand,0.0
534,Telangana,Jharkhand,0.0
535,Tamil Nadu,Jharkhand,0.0
536,Tripura,Jharkhand,0.0
537,Uttarakhand,Jharkhand,0.0
538,Uttar Pradesh,Jharkhand,0.0
539,West Bengal,Jharkhand,0.0
540,Andhra Pradesh,Jammu & Kashmir,0.0
541,Andaman & Nicobar Islands,Jammu & Kashmir,0.0
542,Arunachal Pradesh,Jammu & Kashmir,0.0
543,Assam,Jammu & Kashmir,0.0
544,Bihar,Jammu & Kashmir,0.0
545,Chattisgarh,Jammu & Kashmir,0.0
546,Chandigarh,Jammu & Kashmir,0.0
547,Daman & Diu,Jammu & Kashmir,0.0
548,Delhi,Jammu & Kashmir,0.0
549,Dadra & Nagar Haveli,Jammu & Kashmir,0.0
550,Goa,Jammu & Kashmir,0.0
551,Gujarat,Jammu & Kashmir,0.0
552,Himachal Pradesh,Jammu & Kashmir,0.0
553,Haryana,Jammu & Kashmir,1482.8333333333333
554,Jharkhand,Jammu & Kashmir,0.0
555,Jammu & Kashmir,Jammu & Kashmir,0.0
556,Kerala,Jammu & Kashmir,0.0
557,Karnataka,Jammu & Kashmir,0.0
558,Lakshadeep,Jammu & Kashmir,0.0
559,Maharashtra,Jammu & Kashmir,0.0
560,Meghalaya,Jammu & Kashmir,0.0
561,Manipur,Jammu & Kashmir,0.0
562,Madhya Pradesh,Jammu & Kashmir,0.0
563,Mizoram,Jammu & Kashmir,0.0
564,Nagaland,Jammu & Kashmir,0.0
565,Odisha,Jammu & Kashmir,0.0
566,Punjab,Jammu & Kashmir,32392.36666666667
567,Puducherry,Jammu & Kashmir,0.0
568,Rajasthan,Jammu & Kashmir,0.0
569,Sikkim,Jammu & Kashmir,0.0
570,Telangana,Jammu & Kashmir,0.0
571,Tamil Nadu,Jammu & Kashmir,0.0
572,Tripura,Jammu & Kashmir,0.0
573,Uttarakhand,Jammu & Kashmir,0.0
574,Uttar Pradesh,Jammu & Kashmir,0.0
575,West Bengal,Jammu & Kashmir,0.0
576,Andhra Pradesh,Kerala,12873.949999999999
577,Andaman & Nicobar Islands,Kerala,0.0
578,Arunachal Pradesh,Kerala,0.0
579,Assam,Kerala,0.0
580,Bihar,Kerala,0.0
581,Chattisgarh,Kerala,3066.0
582,Chandigarh,Kerala,0.0
583,Daman & Diu,Kerala,0.0
584,Delhi,Kerala,0.0
585,Dadra & Nagar Haveli,Kerala,0.0
586,Goa,Kerala,0.0
587,Gujarat,Kerala,0.0
588,Himachal Pradesh,Kerala,0.0
589,Haryana,Kerala,4028.4166666666665
590,Jharkhand,Kerala,0.0
591,Jammu & Kashmir,Kerala,0.0
592,Kerala,Kerala,175117.5
593,Karnataka,Kerala,2207.5
594,Lakshadeep,Kerala,0.0
595,Maharashtra,Kerala,0.0
596,Meghalaya,Kerala,0.0
597,Manipur,Kerala,0.0
598,Madhya Pradesh,Kerala,0.0
599,Mizoram,Kerala,0.0
600,Nagaland,Kerala,0.0
601,Odisha,Kerala,0.0
602,Punjab,Kerala,7690.5
603,Puducherry,Kerala,0.0
604,Rajasthan,Kerala,0.0
605,Sikkim,Kerala,0.0
606,Telangana,Kerala,58171.98333333334
607,Tamil Nadu,Kerala,713125.8333333334
608,Tripura,Kerala,0.0
609,Uttarakhand,Kerala,0.0
610,Uttar Pradesh,Kerala,0.0
611,West Bengal,Kerala,0.0
612,Andhra Pradesh,Karnataka,58454.73333333334
613,Andaman & Nicobar Islands,Karnataka,0.0
614,Arunachal Pradesh,Karnataka,0.0
615,Assam,Karnataka,2164.1666666666665
616,Bihar,Karnataka,0.0
617,Chattisgarh,Karnataka,0.0
618,Chandigarh,Karnataka,0.0
619,Daman & Diu,Karnataka,0.0
620,Delhi,Karnataka,0.0
621,Dadra & Nagar Haveli,Karnataka,0.0
622,Goa,Karnataka,0.0
623,Gujarat,Karnataka,0.0
624,Himachal Pradesh,Karnataka,0.0
625,Haryana,Karnataka,53154.75
626,Jharkhand,Karnataka,0.0
627,Jammu & Kashmir,Karnataka,0.0
628,Kerala,Karnataka,2212.5
629,Karnataka,Karnataka,80190.83333333333
630,Lakshadeep,Karnataka,0.0
631,Maharashtra,Karnataka,2176.6666666666665
632,Meghalaya,Karnataka,0.0
633,Manipur,Karnataka,0.0
634,Madhya Pradesh,Karnataka,0.0
635,Mizoram,Karnataka,0.0
636,Nagaland,Karnataka,0.0
637,Odisha,Karnataka,4803.974999999999
638,Punjab,Karnataka,186457.16666666666
639,Puducherry,Karnataka,0.0
640,Rajasthan,Karnataka,0.0
