Year,Crop,State,CostofProduction_rs_Quintal
2017,Wheat,Maharashtra,2314.46
2017,Maize,Maharashtra,960.92
2017,Jowar,Maharashtra,960.92
2017,Bajra,Maharashtra,1921.22
2017,Ragi,Maharashtra,3982.18
2014,Maize,Odisha,1336.26
2015,Maize,Odisha,
2015,Rice,Odisha,
2016,Rice,Odisha,
2016,Maize,Odisha,
2017,Rice,Odisha,1394.01
2017,Maize,Odisha,1253.66
2017,Jowar,Odisha,1253.66
2017,Ragi,Odisha,3802.76
2012,Rice,Odisha ,1148.11
2014,Wheat,Punjab,1081.84
2014,Maize,Punjab,1154.79
2015,Wheat,Punjab,
2015,Maize,Punjab,
2015,Rice,Punjab,
2016,Rice,Punjab,
2016,Wheat,Punjab,
2016,Maize,Punjab,
2017,Rice,Punjab,1082.54
2017,Wheat,Punjab,1169.43
2017,Maize,Punjab,1584.75
2017,Jowar,Punjab,1584.75
2012,Wheat,Punjab ,972.25
2012,Rice,Punjab ,944.7
2014,Wheat,Rajasthan,1156.25
2014,Maize,Rajasthan,1628.96
2014,Jowar,Rajasthan,1537.81
2014,Bajra,Rajasthan,1149.16
2014,Barley,Rajasthan,1002.76
2014,Ragi,Rajasthan,1002.76
2015,Bajra,Rajasthan,
2015,Jowar,Rajasthan,
2015,Barley,Rajasthan,
2015,Ragi,Rajasthan,
2015,Maize,Rajasthan,
2015,Wheat,Rajasthan,
2016,Wheat,Rajasthan,
2016,Maize,Rajasthan,
2016,Jowar,Rajasthan,
2016,Bajra,Rajasthan,
2016,Bajra,Rajasthan,
2017,Wheat,Rajasthan,1364.06
2017,Maize,Rajasthan,1573.22
2017,Jowar,Rajasthan,1573.22
2017,Bajra,Rajasthan,1441.83
2017,Barley,Rajasthan,1375.52
2012,Bajra ,Rajasthan ,1275.15
2012,Barley ,Rajasthan ,871.13
2012,Maize,Rajasthan ,1271.73
2012,Wheat,Rajasthan ,913.28
2016,Rice,Tamil Nadu ,
2016,Maize,Tamil Nadu ,
2016,Jowar,Tamil Nadu ,
2017,Rice,Tamil Nadu ,1671.41
2017,Maize,Tamil Nadu ,1524.63
2017,Jowar,Tamil Nadu ,1524.63
2017,Ragi,Tamil Nadu ,4758.17
2012,Jowar ,Tamil Nadu ,1556.65
2012,Bajra ,Tamil Nadu ,1114.75
2012,Ragi ,Tamil Nadu ,1137.34
2012,Maize,Tamil Nadu ,1189
2012,Rice,Tamil Nadu ,1255.27
2014,Maize,Tamil Nadu ,1253.92
2014,Jowar,Tamil Nadu ,1678.65
2015,Jowar,Tamil Nadu ,
2015,Rice,Tamil Nadu ,
2015,Maize,Tamil Nadu ,
2016,Rice,Uttar Pradesh ,
2016,Wheat,Uttar Pradesh ,
2016,Maize,Uttar Pradesh ,
2016,Bajra,Uttar Pradesh ,
2016,Bajra,Uttar Pradesh ,
2017,Rice,Uttar Pradesh ,1562.8
2017,Wheat,Uttar Pradesh ,1464.24
2017,Maize,Uttar Pradesh ,1544.87
2017,Jowar,Uttar Pradesh ,1544.87
2017,Bajra,Uttar Pradesh ,1230.33
2017,Barley,Uttar Pradesh ,1433.45
2012,Bajra ,Uttar Pradesh ,911.61
2012,Maize,Uttar Pradesh ,1453.77
2012,Barley ,Uttar Pradesh ,1099.4
2012,Wheat,Uttar Pradesh ,1042.66
2012,Rice,Uttar Pradesh ,1018.13
2014,Wheat,Uttar Pradesh ,1502.89
2014,Maize,Uttar Pradesh ,1888.58
2014,Bajra,Uttar Pradesh ,1038.43
2014,Barley,Uttar Pradesh ,1450.72
2014,Ragi,Uttar Pradesh ,1450.72
