,state,district,crop,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
384,bihar,sheikhpura,Maize,254.0,869.0,5.830985915492958
385,bihar,sheikhpura,barley,136.0,129.0,1.6666666666666667
386,bihar,sheikhpura,rice,33.0,47.0,2.0
387,bihar,sheikhpura,wheat,25250.0,62714.0,2.8883504555146344
388,bihar,sheohar,Maize,1996.0,7643.0,4.88370607028754
389,bihar,sheohar,barley,257.0,528.0,2.054474708171206
390,bihar,sheohar,rice,8400.0,10920.0,2.321428571428572
391,bihar,sheohar,wheat,16620.0,53612.0,3.6764078666771978
392,bihar,sitamarhi,Maize,7031.0,25056.0,5.3698781838316725
393,bihar,sitamarhi,barley,2044.0,2753.0,2.0689655172413794
394,bihar,sitamarhi,rice,28217.0,34215.0,2.8
395,bihar,sitamarhi,wheat,92499.0,321406.0,3.628958867298204
396,bihar,siwan,Maize,9804.0,52354.0,8.526710097719869
397,bihar,siwan,barley,1244.0,1748.0,1.9921875
398,bihar,siwan,rice,45900.0,48355.0,2.333333333333333
399,bihar,siwan,wheat,99181.0,314201.0,3.312993599679457
400,bihar,supaul,Maize,15242.0,115021.0,9.684347899301171
401,bihar,supaul,barley,192.0,225.0,1.2592592592592593
402,bihar,supaul,rice,23589.0,22668.0,3.2935153583617747
403,bihar,supaul,wheat,64567.0,148032.0,2.532214777696451
404,bihar,vaishali,Maize,20413.0,85271.0,4.959634735066597
405,bihar,vaishali,barley,788.0,1155.0,2.057851239669421
406,bihar,vaishali,rice,14078.0,19203.0,2.827814569536424
407,bihar,vaishali,wheat,50222.0,172444.0,3.852894519293072
408,bihar,west singhbhum,Maize,8.0,20.0,2.5
409,bihar,west singhbhum,barley,10.0,12.0,1.2
410,bihar,west singhbhum,rice,190.0,232.0,1.2210526315789474
411,bihar,west singhbhum,wheat,379.0,634.0,1.7759103641456582
412,chandigarh,chandigarh,wheat,880.0,3960.0,5.0
413,chhattisgarh,balod,barley,3.0,3.0,1.0
414,chhattisgarh,balod,wheat,3664.0,4382.0,1.240656851642129
415,chhattisgarh,baloda bazar,barley,1.0,1.0,1.0
416,chhattisgarh,baloda bazar,wheat,5375.0,9042.0,2.2034745985785733
417,chhattisgarh,balrampur,Maize,160.0,350.0,2.1875
