source_state,target_state,quantity_kcal,State,original_alt_trade_kcal,trade_alt_needed_clipped,scale_factor,optimized_trade_kcal
chhattisgarh,manipur,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,meghalaya,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,mizoram,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,nagaland,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,odisha,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,puducherry,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,punjab,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,rajasthan,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,tamil nadu,2927145000.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,1964988782647.6829
chhattisgarh,telangana,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,tripura,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,uttar pradesh,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,uttarakhand,0.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,0.0
chhattisgarh,west bengal,14618045000.0,chhattisgarh,23396165000.0,15705816343903.129,671.2987510518552,9813075351319.816
daman and diu,arunachal pradesh,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,assam,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,bihar,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,chandigarh,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,chhattisgarh,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,delhi,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,goa,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,gujarat,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,haryana,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,himachal pradesh,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,jammu and kashmir,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,jharkhand,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,karnataka,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,kerala,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,madhya pradesh,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,maharashtra,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,manipur,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,meghalaya,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,mizoram,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,nagaland,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,odisha,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,puducherry,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,punjab,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,rajasthan,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,tamil nadu,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,telangana,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,tripura,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,uttar pradesh,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,uttarakhand,0.0,daman and diu,0.0,0.0,0.0,0.0
daman and diu,west bengal,0.0,daman and diu,0.0,0.0,0.0,0.0
delhi,andhra pradesh,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,arunachal pradesh,0.0,delhi,2940405000.0,0.0,0.0,0.0
delhi,assam,0.0,delhi,2940405000.0,0.0,0.0,0.0
